year,C1,region,youth_net_migration_20_34,total_net_migration,region_kosis,youth_share_19_39,youth_population_19_39,total_population,youth_employment_rate_15_29,grdp_per_capita_thousand_won,businesses_per_1000_people,under40_homeownership_rate,under40_nonowner_rate,capital_area,youth_net_migration_rate_per_1000,total_net_migration_rate_per_1000,log_grdp_per_capita,capital_area_numeric
2016,26,부산광역시,-8520,-21392,부산광역시,28.6,982689.0,3440484.0,40.3,26800.0,,35.22,64.78,False,-8.670087891489576,-6.217729831035401,10.196157166498947,0
2017,26,부산광역시,-9505,-28398,부산광역시,28.3,967213.0,3416918.0,41.2,27210.0,,34.44,65.56,False,-9.827204555770031,-8.310998390947631,10.211339831777291,0
2018,26,부산광역시,-10906,-26759,부산광역시,28.0,951398.0,3395278.0,40.4,28355.0,,33.05,66.95,False,-11.46313109760584,-7.881239768879015,10.252558660448129,0
2019,26,부산광역시,-9639,-23354,부산광역시,27.6,930199.0,3372692.0,42.9,29436.0,,30.42,69.58,False,-10.36229881992993,-6.924438994132877,10.28997369404649,0
2020,26,부산광역시,-5639,-14347,부산광역시,26.9,901402.0,3349016.0,40.5,29272.0,118.5,28.22,71.78,False,-6.255810393143126,-4.2839448960530495,10.284386706699042,0
2021,26,부산광역시,-6664,-18903,부산광역시,26.3,872794.0,3324335.0,41.2,31950.0,119.8,27.87,72.13,False,-7.635249554877784,-5.686250031961279,10.371927459805681,0
2022,26,부산광역시,-5974,-13562,부산광역시,25.6,842822.0,3295760.0,42.0,34465.0,120.7,26.73,73.27,False,-7.088092147570899,-4.114984100784038,10.447699595319753,0
2023,26,부산광역시,-6076,-11432,부산광역시,25.1,823314.0,3279604.0,43.9,35431.0,121.8,25.52,74.48,False,-7.3799303789319755,-3.485786698638006,10.47534242212957,0
2024,26,부산광역시,-7349,-13657,부산광역시,24.6,802375.0,3257256.0,46.1,37085.0,123.2,24.09,75.91,False,-9.159059043464714,-4.192792952104471,10.520967854170658,0
2015,27,대구광역시,-6957,-12940,대구광역시,28.6,706317.0,2466052.0,39.3,22685.0,,35.45,64.55,False,-9.849685056426507,-5.247253504792275,10.029459192098065,0
2016,27,대구광역시,-5261,-9260,대구광역시,28.3,696974.0,2461002.0,38.3,23382.0,,34.78,65.22,False,-7.548344701524017,-3.7626950323486126,10.059721774566764,0
2017,27,대구광역시,-5671,-11936,대구광역시,28.0,687892.0,2453041.0,35.2,24170.0,,34.93,65.07,False,-8.244026678606525,-4.865797188061675,10.09286747369753,0
2018,27,대구광역시,-6454,-14242,대구광역시,27.9,682578.0,2444412.0,36.3,24820.0,,34.82,65.18,False,-9.455329647307707,-5.826350058828053,10.119405058758598,0
2019,27,대구광역시,-11159,-23673,대구광역시,27.7,673072.0,2429940.0,39.8,25653.0,,32.89,67.11,False,-16.579206979342477,-9.742215857181659,10.152415802824065,0
