sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
경기도,성남시 수정구,경기도 성남시 수정구,52,347361.0576923077,201650.63461538462,549011.6923076923,36.729752287747274,34.73610576923077,20.165063461538463,54.90116923076923
부산광역시,북구,부산광역시 북구,52,441078.71153846156,107186.84615384616,548265.5576923077,19.550169557431968,44.107871153846155,10.718684615384616,54.82655576923077
경기도,양주시,경기도 양주시,52,373640.26923076925,159811.73076923078,533452.0,29.958033856697657,37.36402692307693,15.981173076923078,53.3452
대전광역시,동구,대전광역시 동구,52,336771.6538461539,193328.76923076922,530100.4230769231,36.470215984474926,33.677165384615385,19.33287692307692,53.01004230769231
부산광역시,금정구,부산광역시 금정구,52,359327.07692307694,170298.34615384616,529625.4230769231,32.15448857505315,35.932707692307694,17.029834615384615,52.96254230769231
경기도,안양시 만안구,경기도 안양시 만안구,52,373348.82692307694,153148.61538461538,526497.4423076923,29.088197411434574,37.334882692307694,15.314861538461537,52.64974423076922
충청북도,충주시,충청북도 충주시,52,421286.6346153846,98070.76923076923,519357.4038461539,18.883098325834236,42.128663461538466,9.807076923076924,51.935740384615386
경상남도,거제시,경상남도 거제시,52,413771.5961538461,96741.61538461539,510513.21153846156,18.949874988167075,41.37715961538461,9.674161538461538,51.05132115384615
부산광역시,사상구,부산광역시 사상구,52,327641.23076923075,180470.4423076923,508111.67307692306,35.51786976568257,32.76412307692308,18.04704423076923,50.81116730769231
제주특별자치도,서귀포시,제주특별자치도 서귀포시,52,304733.17307692306,203175.86538461538,507909.03846153844,40.00241184918408,30.473317307692305,20.317586538461537,50.790903846153846
울산광역시,울주군,울산광역시 울주군,52,298131.3653846154,207246.48076923078,505377.8461538461,41.008224311071444,29.81313653846154,20.724648076923078,50.53778461538461
대구광역시,달성군,대구광역시 달성군,52,323923.92307692306,176500.07692307694,500424.0,35.27010633444378,32.392392307692305,17.650007692307693,50.0424
