topo_code,kosis_region_code,region,region_eng,husband_total_marriages,wife_total_marriages,korean_husband_foreign_wife,korean_wife_foreign_husband,map_match_note,total_marriages_for_rate,international_marriages,international_marriage_share_pct,year
32360,32560,철원군,Cheorwon-gun,195.0,117.0,19.0,2.0,name_prefix_boundary_code,156.0,21.0,13.46,2024
36310,36510,담양군,Damyang-gun,119.0,104.0,10.0,5.0,name_prefix_boundary_code,111.5,15.0,13.45,2024
38350,38550,남해군,Namhae-gun,79.0,70.0,9.0,1.0,name_prefix_boundary_code,74.5,10.0,13.42,2024
38340,38540,고성군,Goseong-gun,96.0,83.0,10.0,2.0,name_prefix_boundary_code,89.5,12.0,13.41,2024
32340,32540,평창군,Pyeongchang-gun,109.0,86.0,13.0,0.0,name_prefix_boundary_code,97.5,13.0,13.33,2024
35030,35030,익산시,Iksan-si,931.0,891.0,97.0,24.0,direct_topo_code,911.0,121.0,13.28,2024
37020,37020,경주시,Gyeongju-si,879.0,793.0,89.0,22.0,direct_topo_code,836.0,111.0,13.28,2024
26310,26510,울주군,Ulju-gun,843.0,791.0,86.0,22.0,name_prefix_boundary_code,817.0,108.0,13.22,2024
31092,31090+31092,안산시단원구,Ansan-si,4136.0,4197.0,428.0,119.0,aggregate_to_child_boundary_code+direct_topo_code,4166.5,547.0,13.13,2024
36440,36640,영광군,Yeonggwang-gun,223.0,190.0,25.0,2.0,name_prefix_boundary_code,206.5,27.0,13.08,2024
34050,34050,서산시,Seosan-si,792.0,633.0,78.0,15.0,direct_topo_code,712.5,93.0,13.05,2024
31220,31220,안성시,Anseong-si,934.0,791.0,88.0,24.0,direct_topo_code,862.5,112.0,12.99,2024
37420,37620,울진군,Uljin-gun,196.0,147.0,21.0,1.0,name_prefix_boundary_code,171.5,22.0,12.83,2024
37070,37070,영천시,Yeongcheon-si,278.0,284.0,27.0,9.0,direct_topo_code,281.0,36.0,12.81,2024
31050,31050+31051+31052+31053,부천시,Bucheon-si,6108.0,6118.0,532.0,246.0,direct_topo_code+district_to_parent_boundary_code,6113.0,778.0,12.73,2024
31091,31090+31091,안산시상록구,Ansan-si,4066.0,4134.0,412.0,109.0,aggregate_to_child_boundary_code+direct_topo_code,4100.0,521.0,12.71,2024
11090,11090,강북구,Gangbuk-gu,890.0,970.0,85.0,33.0,direct_topo_code,930.0,118.0,12.69,2024
23010,23010,중구,Jung-gu,873.0,752.0,85.0,17.0,direct_topo_code,812.5,102.0,12.55,2024
37430,37630,울릉군,Ulleung-gun,38.0,26.0,4.0,0.0,name_prefix_boundary_code,32.0,4.0,12.5,2024
31140,31140,오산시,Osan-si,1245.0,1061.0,115.0,29.0,direct_topo_code,1153.0,144.0,12.49,2024
37040,37040,안동시,Andong-si,503.0,480.0,46.0,15.0,direct_topo_code,491.5,61.0,12.41,2024
37090,37090,문경시,Mungyeong-si,165.0,175.0,18.0,3.0,direct_topo_code,170.0,21.0,12.35,2024
37100,37100,경산시,Gyeongsan-si,1008.0,992.0,92.0,30.0,direct_topo_code,1000.0,122.0,12.2,2024
23020,23020,동구,Dong-gu,251.0,212.0,26.0,2.0,direct_topo_code,231.5,28.0,12.1,2024
33030,33030,제천시,Jecheon-si,405.0,391.0,39.0,9.0,direct_topo_code,398.0,48.0,12.06,2024
32410,32610,양양군,Yangyang-gun,95.0,55.0,7.0,2.0,name_prefix_boundary_code,75.0,9.0,12.0,2024
11030,11030,용산구,Yongsan-gu,1103.0,1133.0,66.0,68.0,direct_topo_code,1118.0,134.0,11.99,2024
34030,34030,보령시,Boryeong-si,327.0,257.0,33.0,2.0,direct_topo_code,292.0,35.0,11.99,2024
23050,23050,남동구,Namdong-gu,1901.0,1840.0,170.0,54.0,direct_topo_code,1870.5,224.0,11.98,2024
38090,38090,거제시,Geoje-si,762.0,712.0,70.0,18.0,direct_topo_code,737.0,88.0,11.94,2024
11180,11180,금천구,Geumcheon-gu,1179.0,1173.0,94.0,46.0,direct_topo_code,1176.0,140.0,11.9,2024
11020,11020,중구,Jung-gu,756.0,742.0,58.0,30.0,direct_topo_code,749.0,88.0,11.75,2024
36450,36650,장성군,Jangseong-gun,140.0,116.0,12.0,3.0,name_prefix_boundary_code,128.0,15.0,11.72,2024
37350,37550,영덕군,Yeongdeok-gun,85.0,69.0,9.0,0.0,name_prefix_boundary_code,77.0,9.0,11.69,2024
33020,33020,충주시,Chungju-si,821.0,742.0,69.0,22.0,direct_topo_code,781.5,91.0,11.64,2024
32070,32070,삼척시,Samcheok-si,203.0,168.0,19.0,2.0,direct_topo_code,185.5,21.0,11.32,2024
31230,31230,김포시,Gimpo-si,2007.0,1934.0,160.0,56.0,direct_topo_code,1970.5,216.0,10.96,2024
31250,31250,광주시,Gwangju-si,1780.0,1668.0,142.0,47.0,direct_topo_code,1724.0,189.0,10.96,2024
37340,37540,영양군,Yeongyang-gun,30.0,25.0,3.0,0.0,name_prefix_boundary_code,27.5,3.0,10.91,2024
32050,32050,태백시,Taebaek-si,133.0,106.0,11.0,2.0,direct_topo_code,119.5,13.0,10.88,2024
33340,33540,영동군,Yeongdong-gun,116.0,107.0,9.0,3.0,name_prefix_boundary_code,111.5,12.0,10.76,2024
35360,35560,순창군,Sunchang-gun,59.0,53.0,6.0,0.0,name_prefix_boundary_code,56.0,6.0,10.71,2024
