C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
군포시,Gunpo-si,17.0,2008.0,2024.0,20116.0,46533.0,26417.0,131.32,1591.2,0.159,0.962,41410.0,older,65세 이상 고령층 인구,증가,31160,군포시,global_exact_name
의왕시,Uiwang-si,17.0,2008.0,2024.0,10738.0,27980.0,17242.0,160.57,1070.3,0.107,0.98,41430.0,older,65세 이상 고령층 인구,증가,31170,의왕시,global_exact_name
하남시,Hanam-si,17.0,2008.0,2024.0,12217.0,50742.0,38525.0,315.34,2548.6,0.255,0.941,41450.0,older,65세 이상 고령층 인구,증가,31180,하남시,global_exact_name
처인구,Cheoin-gu,17.0,2008.0,2024.0,18945.0,48459.0,29514.0,155.79,1801.2,0.18,0.963,41461.0,older,65세 이상 고령층 인구,증가,31191,용인시처인구,suffix_name
기흥구,Giheung-gu,17.0,2008.0,2024.0,23617.0,70033.0,46416.0,196.54,2888.4,0.289,0.992,41463.0,older,65세 이상 고령층 인구,증가,31192,용인시기흥구,suffix_name
수지구,Suji-gu,17.0,2008.0,2024.0,23521.0,57225.0,33704.0,143.29,2151.9,0.215,0.997,41465.0,older,65세 이상 고령층 인구,증가,31193,용인시수지구,suffix_name
파주시,Paju-si,17.0,2008.0,2024.0,33940.0,83569.0,49629.0,146.23,2938.2,0.294,0.976,41480.0,older,65세 이상 고령층 인구,증가,31200,파주시,global_exact_name
이천시,Icheon-si,17.0,2008.0,2024.0,19208.0,39307.0,20099.0,104.64,1195.1,0.12,0.957,41500.0,older,65세 이상 고령층 인구,증가,31210,이천시,global_exact_name
안성시,Anseong-si,17.0,2008.0,2024.0,20368.0,40838.0,20470.0,100.5,1212.3,0.121,0.956,41550.0,older,65세 이상 고령층 인구,증가,31220,안성시,global_exact_name
김포시,Gimpo-si,17.0,2008.0,2024.0,21090.0,76654.0,55564.0,263.46,3514.1,0.351,0.978,41570.0,older,65세 이상 고령층 인구,증가,31230,김포시,global_exact_name
화성시,Hwaseong-si,17.0,2008.0,2024.0,34605.0,105701.0,71096.0,205.45,4323.4,0.432,0.932,41590.0,older,65세 이상 고령층 인구,증가,31240,화성시,global_exact_name
광주시,Gwangju-si,17.0,2008.0,2024.0,19767.0,69176.0,49409.0,249.96,3090.7,0.309,0.965,41610.0,older,65세 이상 고령층 인구,증가,31250,광주시,global_exact_name
양주시,Yangju-si,17.0,2008.0,2024.0,17244.0,50616.0,33372.0,193.53,1923.8,0.192,0.945,41630.0,older,65세 이상 고령층 인구,증가,31260,양주시,global_exact_name
포천시,Pocheon-si,17.0,2008.0,2024.0,19079.0,37242.0,18163.0,95.2,1058.4,0.106,0.943,41650.0,older,65세 이상 고령층 인구,증가,31270,포천시,global_exact_name
여주시,Yeoju-si,12.0,2013.0,2024.0,18227.0,30535.0,12308.0,67.53,1137.4,0.114,0.973,41670.0,older,65세 이상 고령층 인구,증가,31280,여주시,global_exact_name
연천군,Yeoncheon-gun,17.0,2008.0,2024.0,8214.0,13432.0,5218.0,63.53,298.7,0.03,0.97,41800.0,older,65세 이상 고령층 인구,완만한 증가,31350,연천군,global_exact_name
가평군,Gapyeong-gun,17.0,2008.0,2024.0,10194.0,19831.0,9637.0,94.54,567.8,0.057,0.974,41820.0,older,65세 이상 고령층 인구,완만한 증가,31370,가평군,global_exact_name
양평군,Yangpyeong-gun,17.0,2008.0,2024.0,16096.0,39341.0,23245.0,144.41,1406.2,0.141,0.968,41830.0,older,65세 이상 고령층 인구,증가,31380,양평군,global_exact_name
춘천시,Chuncheon-si,17.0,2008.0,2024.0,32406.0,61370.0,28964.0,89.38,1706.8,0.171,0.961,51110.0,older,65세 이상 고령층 인구,증가,32010,춘천시,global_exact_name
원주시,Wonju-si,17.0,2008.0,2024.0,32324.0,68912.0,36588.0,113.19,2166.4,0.217,0.94,51130.0,older,65세 이상 고령층 인구,증가,32020,원주시,global_exact_name
강릉시,Gangneung-si,17.0,2008.0,2024.0,28670.0,54279.0,25609.0,89.32,1540.7,0.154,0.977,51150.0,older,65세 이상 고령층 인구,증가,32030,강릉시,global_exact_name
동해시,Donghae-si,17.0,2008.0,2024.0,11595.0,21889.0,10294.0,88.78,620.7,0.062,0.974,51170.0,older,65세 이상 고령층 인구,완만한 증가,32040,동해시,global_exact_name
태백시,Taebaek-si,17.0,2008.0,2024.0,6632.0,11801.0,5169.0,77.94,314.4,0.031,0.994,51190.0,older,65세 이상 고령층 인구,완만한 증가,32050,태백시,global_exact_name
속초시,Sokcho-si,17.0,2008.0,2024.0,9853.0,19453.0,9600.0,97.43,575.4,0.058,0.955,51210.0,older,65세 이상 고령층 인구,완만한 증가,32060,속초시,global_exact_name
삼척시,Samcheok-si,17.0,2008.0,2024.0,12125.0,18709.0,6584.0,54.3,390.7,0.039,0.985,51230.0,older,65세 이상 고령층 인구,완만한 증가,32070,삼척시,global_exact_name
홍천군,Hongcheon-gun,17.0,2008.0,2024.0,12514.0,22411.0,9897.0,79.09,586.8,0.059,0.929,51720.0,older,65세 이상 고령층 인구,완만한 증가,32310,홍천군,global_exact_name
횡성군,Hoengseong-gun,17.0,2008.0,2024.0,9030.0,16949.0,7919.0,87.7,470.5,0.047,0.952,51730.0,older,65세 이상 고령층 인구,완만한 증가,32320,횡성군,global_exact_name
영월군,Yeongwol-gun,17.0,2008.0,2024.0,8333.0,13164.0,4831.0,57.97,293.9,0.029,0.972,51750.0,older,65세 이상 고령층 인구,완만한 증가,32330,영월군,global_exact_name
평창군,Pyeongchang-gun,17.0,2008.0,2024.0,7959.0,14167.0,6208.0,78.0,371.5,0.037,0.96,51760.0,older,65세 이상 고령층 인구,완만한 증가,32340,평창군,global_exact_name
정선군,Jeongseon-gun,17.0,2008.0,2024.0,7269.0,11691.0,4422.0,60.83,260.9,0.026,0.984,51770.0,older,65세 이상 고령층 인구,완만한 증가,32350,정선군,global_exact_name
