topo_code,topo_name,C1,C1_NM,kosis_prefix,sido,sigungu,living_population,registered_population,stay_population,foreign_population,region,living_registered_ratio,stay_share_pct,foreign_share_pct,living_population_10k,registered_population_10k,stay_population_10k,foreign_population_10k,has_living_population
36310,담양군,46710,담양군,46,전라남도,담양군,382833.3333333333,44260.333333333336,337487.6666666667,1085.3333333333333,전라남도 담양군,8.649580888831986,88.15524597300828,0.28350021767522854,38.28333333333333,4.426033333333334,33.74876666666667,0.10853333333333333,True
36320,곡성군,46720,곡성군,46,전라남도,곡성군,147396.33333333334,26593.333333333332,120184.66666666667,618.3333333333334,전라남도 곡성군,5.542604662822764,81.5384371841,0.4195038773013349,14.739633333333334,2.659333333333333,12.018466666666667,0.06183333333333334,True
36330,구례군,46730,구례군,46,전라남도,구례군,188437.0,23867.666666666668,164322.33333333334,247.0,전라남도 구례군,7.895074228733432,87.2027963368836,0.13107829141835203,18.8437,2.386766666666667,16.432233333333333,0.0247,True
36350,고흥군,46770,고흥군,46,전라남도,고흥군,254810.0,59728.666666666664,193224.33333333334,1857.0,전라남도 고흥군,4.266125701784738,75.83074970893345,0.7287783054040265,25.481,5.9728666666666665,19.322433333333333,0.1857,True
36360,보성군,46780,보성군,46,전라남도,보성군,194509.66666666666,36733.333333333336,156398.33333333334,1378.0,전라남도 보성군,5.295181488203267,80.40645794810541,0.7084480805581215,19.450966666666666,3.673333333333334,15.639833333333334,0.1378,True
36370,화순군,46790,화순군,46,전라남도,화순군,340926.0,60384.333333333336,279315.0,1226.6666666666667,전라남도 화순군,5.645934651924064,81.92833635451682,0.35980437592517633,34.0926,6.038433333333334,27.9315,0.12266666666666667,True
36380,장흥군,46800,장흥군,46,전라남도,장흥군,152780.66666666666,34219.0,117712.66666666667,849.0,전라남도 장흥군,4.464790515990142,77.04683402350211,0.5556985831540641,15.278066666666666,3.4219,11.771266666666667,0.0849,True
36390,강진군,46810,강진군,46,전라남도,강진군,149750.33333333334,31770.666666666668,117318.0,661.6666666666666,전라남도 강진군,4.713477841195233,78.34239656672996,0.4418465401301277,14.975033333333334,3.1770666666666667,11.7318,0.06616666666666667,True
36400,해남군,46820,해남군,46,전라남도,해남군,270912.0,62392.666666666664,205612.0,2907.3333333333335,전라남도 해남군,4.342048745044824,75.89623198677062,1.073165209859044,27.0912,6.2392666666666665,20.5612,0.29073333333333334,True
36410,영암군,46830,영암군,46,전라남도,영암군,271637.6666666667,50358.0,210688.66666666666,10591.0,전라남도 영암군,5.39413135284695,77.56239009562982,3.8989438136340935,27.163766666666668,5.0358,21.068866666666665,1.0591,True
36420,무안군,46840,무안군,46,,,,,,,,,,,,,,,False
36430,함평군,46860,함평군,46,전라남도,함평군,159411.0,29607.666666666668,128545.33333333333,1258.0,전라남도 함평군,5.384112223185436,80.63768079576273,0.7891550771276762,15.9411,2.9607666666666668,12.854533333333332,0.1258,True
36440,영광군,46870,영광군,46,전라남도,영광군,235048.0,53122.0,180648.66666666666,1277.3333333333333,전라남도 영광군,4.424682805617258,76.85607478756111,0.5434350997810377,23.5048,5.3122,18.064866666666667,0.12773333333333334,True
36450,장성군,46880,장성군,46,전라남도,장성군,251459.66666666666,42871.0,207246.33333333334,1342.3333333333333,전라남도 장성군,5.865495711942027,82.41732603903344,0.5338165563993695,25.145966666666666,4.2871,20.724633333333333,0.13423333333333332,True
36460,완도군,46890,완도군,46,전라남도,완도군,201394.33333333334,44908.666666666664,153090.33333333334,3395.3333333333335,전라남도 완도군,4.484531567774595,76.01521393352677,1.6859130429025642,20.139433333333333,4.490866666666666,15.309033333333334,0.33953333333333335,True
36470,진도군,46900,진도군,46,전라남도,진도군,150302.0,28172.666666666668,119982.0,2147.3333333333335,전라남도 진도군,5.3350292245438835,79.82728107410414,1.4286791482038386,15.0302,2.817266666666667,11.9982,0.21473333333333336,True
36480,신안군,46910,신안군,46,전라남도,신안군,180371.33333333334,38922.666666666664,140055.33333333334,1393.3333333333333,전라남도 신안군,4.63409495752261,77.64833288364375,0.7724804754635806,18.037133333333333,3.8922666666666665,14.005533333333334,0.13933333333333334,True
37011,포항시남구,47111,남구,47,,,,,,,,,,,,,,,False
37012,포항시북구,47113,북구,47,,,,,,,,,,,,,,,False
37020,경주시,47130,경주시,47,,,,,,,,,,,,,,,False
37030,김천시,47150,김천시,47,,,,,,,,,,,,,,,False
37040,안동시,47170,안동시,47,경상북도,안동시,554192.0,153485.0,397992.3333333333,2714.6666666666665,경상북도 안동시,3.6107241750008146,71.81488244747909,0.4898422688647015,55.4192,15.3485,39.79923333333333,0.27146666666666663,True
37050,구미시,47190,구미시,47,,,,,,,,,,,,,,,False
37060,영주시,47210,영주시,47,경상북도,영주시,287319.0,97698.66666666667,187706.0,1914.3333333333333,경상북도 영주시,2.940869203264459,65.33017308288001,0.6662745357367015,28.7319,9.769866666666667,18.7706,0.19143333333333332,True
37070,영천시,47230,영천시,47,경상북도,영천시,398827.0,96158.66666666667,298560.6666666667,4107.666666666667,경상북도 영천시,4.14759286734425,74.85969271555504,1.0299369567924606,39.8827,9.615866666666667,29.856066666666667,0.4107666666666667,True
37080,상주시,47250,상주시,47,경상북도,상주시,374679.0,90573.0,281120.3333333333,2985.6666666666665,경상북도 상주시,4.136762611374251,75.02964760056831,0.7968598898434838,37.4679,9.0573,28.112033333333333,0.29856666666666665,True
37090,문경시,47280,문경시,47,경상북도,문경시,367546.0,65888.0,300134.0,1524.0,경상북도 문경시,5.578345070422535,81.65889439689181,0.4146419767865791,36.7546,6.5888,30.0134,0.1524,True
37100,경산시,47290,경산시,47,,,,,,,,,,,,,,,False
37310,군위군,47720,군위군,47,대구광역시,군위군,197439.66666666666,22361.666666666668,174501.66666666666,576.3333333333334,대구광역시 군위군,8.829380636505924,88.3822737410078,0.2919035182055616,19.743966666666665,2.2361666666666666,17.450166666666664,0.057633333333333335,True
37320,의성군,47730,의성군,47,경상북도,의성군,203679.66666666666,48118.666666666664,154226.33333333334,1334.6666666666667,경상북도 의성군,4.232861813849095,75.72004405610771,0.6552773227240816,20.367966666666664,4.811866666666666,15.422633333333334,0.13346666666666668,True
37330,청송군,47750,청송군,47,경상북도,청송군,128986.66666666667,23519.666666666668,104781.66666666667,685.3333333333334,경상북도 청송군,5.484204708116612,81.23449452139756,0.5313210667769279,12.898666666666667,2.3519666666666668,10.478166666666667,0.06853333333333333,True
37340,영양군,47760,영양군,47,경상북도,영양군,61800.0,15188.0,45741.0,871.0,경상북도 영양군,4.069001843560706,74.01456310679612,1.4093851132686084,6.18,1.5188,4.5741,0.0871,True
37350,영덕군,47770,영덕군,47,경상북도,영덕군,331649.6666666667,32883.0,297857.6666666667,909.0,경상북도 영덕군,10.085748461717808,89.81093503285094,0.2740844003059453,33.16496666666667,3.2883,29.785766666666667,0.0909,True
