C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,149.0,37070,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Yeongcheon-si,영천시,개,101
행정구역별,12341.0,37080,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Sangju-si,상주시,개,101
행정구역별,12883.0,37080,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Sangju-si,상주시,개,101
행정구역별,13332.0,37080,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Sangju-si,상주시,개,101
행정구역별,13909.0,37080,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Sangju-si,상주시,개,101
행정구역별,14506.0,37080,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Sangju-si,상주시,개,101
행정구역별,97228.0,37080,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Sangju-si,상주시,명,101
행정구역별,95566.0,37080,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Sangju-si,상주시,명,101
행정구역별,94823.0,37080,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Sangju-si,상주시,명,101
행정구역별,93858.0,37080,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Sangju-si,상주시,명,101
행정구역별,91850.0,37080,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Sangju-si,상주시,명,101
행정구역별,126.9,37080,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Sangju-si,상주시,개,101
행정구역별,134.8,37080,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Sangju-si,상주시,개,101
행정구역별,140.6,37080,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Sangju-si,상주시,개,101
행정구역별,148.2,37080,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Sangju-si,상주시,개,101
행정구역별,157.9,37080,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Sangju-si,상주시,개,101
행정구역별,8318.0,37090,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Mungyeong-si,문경시,개,101
행정구역별,8647.0,37090,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Mungyeong-si,문경시,개,101
