C2,PRD_SE,ITM_ID,TBL_ID,PRD_DE,C3_NM,C3_OBJ_NM_ENG,C2_OBJ_NM_ENG,C1_OBJ_NM_ENG,C1_OBJ_NM,C2_NM,C3,DT,C1,UNIT_NM_ENG,C3_NM_ENG,ITM_NM,TBL_NM,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_NM_ENG,C3_OBJ_NM,ORG_ID,C2_OBJ_NM
31140,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,남구,0,18,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Nam-gu,성별,101,전입지별
31170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동구,0,7,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dong-gu,성별,101,전입지별
31200,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,북구,0,12,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Buk-gu,성별,101,전입지별
31710,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,울주군,0,10,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Ulju-gun,성별,101,전입지별
36,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,세종특별자치시,0,89,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Sejong,성별,101,전입지별
36110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,세종특별자치시,0,89,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Sejong,성별,101,전입지별
41,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,경기도,0,3527,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gyeonggi-do,성별,101,전입지별
41110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,수원시,0,229,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Suwon-si,성별,101,전입지별
41130,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,성남시,0,304,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seongnam-si,성별,101,전입지별
41150,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,의정부시,0,142,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Uijeongbu-si,성별,101,전입지별
41170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,안양시,0,121,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Anyang-si,성별,101,전입지별
41190,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,부천시,0,118,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Bucheon-si,성별,101,전입지별
41210,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,광명시,0,64,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gwangmyeong-si,성별,101,전입지별
41220,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,평택시,0,93,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Pyeongtaek-si,성별,101,전입지별
41250,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동두천시,0,31,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dongducheon-si,성별,101,전입지별
41270,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,안산시,0,74,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Ansan-si,성별,101,전입지별
