C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년여성인구(19~39세),37719.0,32,11100,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,명,101,청년인구비율 지표
행정구역별,전체인구,296997.0,33,11100,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),27.3,11,11110,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),132868.0,12,11110,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,명,101,청년인구비율 지표
행정구역별,전체인구,486446.0,13,11110,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.6,21,11110,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),104863.0,22,11110,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,명,101,청년인구비율 지표
행정구역별,전체인구,486446.0,23,11110,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.6,31,11110,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),66012.0,32,11110,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,명,101,청년인구비율 지표
행정구역별,전체인구,486446.0,33,11110,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,노원구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),27.8,11,11120,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),124502.0,12,11120,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,명,101,청년인구비율 지표
행정구역별,전체인구,448142.0,13,11120,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.4,21,11120,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),95783.0,22,11120,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,명,101,청년인구비율 지표
행정구역별,전체인구,448142.0,23,11120,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),14.6,31,11120,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),65479.0,32,11120,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,명,101,청년인구비율 지표
행정구역별,전체인구,448142.0,33,11120,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,은평구,명,101,청년인구비율 지표
